Rounds,Date,Home Team,Away Team
1,16/10/2018 20:00,Boston Celtics,Philadelphia 76ers
1,16/10/2018 22:30,Golden State Warriors,Oklahoma City Thunder
1,17/10/2018 19:00,Charlotte Hornets,Milwaukee Bucks
1,17/10/2018 19:00,Detroit Pistons,Brooklyn Nets
1,17/10/2018 19:00,Indiana Pacers,Memphis Grizzlies
1,17/10/2018 19:00,Orlando Magic,Miami Heat
1,17/10/2018 19:30,New York Knicks,Atlanta Hawks
1,17/10/2018 19:30,Toronto Raptors,Cleveland Cavaliers
1,17/10/2018 20:00,Houston Rockets,New Orleans Pelicans
1,17/10/2018 20:30,San Antonio Spurs,Minnesota Timberwolves
1,17/10/2018 22:00,Sacramento Kings,Utah Jazz
1,17/10/2018 22:30,LA Clippers,Denver Nuggets
1,17/10/2018 22:30,Phoenix Suns,Dallas Mavericks
1,18/10/2018 20:00,Philadelphia 76ers,Chicago Bulls
1,18/10/2018 20:00,Washington Wizards,Miami Heat
1,18/10/2018 22:30,Portland Trail Blazers,Los Angeles Lakers
1,19/10/2018 19:00,Orlando Magic,Charlotte Hornets
1,19/10/2018 19:30,Brooklyn Nets,New York Knicks
1,19/10/2018 20:00,Toronto Raptors,Boston Celtics
1,19/10/2018 20:00,Memphis Grizzlies,Atlanta Hawks
1,19/10/2018 20:00,Minnesota Timberwolves,Cleveland Cavaliers
1,19/10/2018 20:00,New Orleans Pelicans,Sacramento Kings
1,19/10/2018 20:30,Milwaukee Bucks,Indiana Pacers
1,19/10/2018 22:30,Utah Jazz,Golden State Warriors
1,19/10/2018 22:30,LA Clippers,Oklahoma City Thunder
1,20/10/2018 19:00,Indiana Pacers,Brooklyn Nets
1,20/10/2018 19:00,Washington Wizards,Toronto Raptors
1,20/10/2018 19:30,New York Knicks,Boston Celtics
1,20/10/2018 19:30,Philadelphia 76ers,Orlando Magic
1,20/10/2018 20:00,Miami Heat,Charlotte Hornets
1,20/10/2018 20:00,Chicago Bulls,Detroit Pistons
1,20/10/2018 20:30,Dallas Mavericks,Minnesota Timberwolves
1,20/10/2018 21:00,Denver Nuggets,Phoenix Suns
1,20/10/2018 22:00,Portland Trail Blazers,San Antonio Spurs
1,20/10/2018 22:30,Los Angeles Lakers,Houston Rockets
1,21/10/2018 18:00,Cleveland Cavaliers,Atlanta Hawks
1,21/10/2018 19:00,Oklahoma City Thunder,Sacramento Kings
1,21/10/2018 20:00,Denver Nuggets,Golden State Warriors
1,21/10/2018 21:00,LA Clippers,Houston Rockets
1,22/10/2018 19:30,Boston Celtics,Orlando Magic
1,22/10/2018 19:30,Toronto Raptors,Charlotte Hornets
1,22/10/2018 20:00,Milwaukee Bucks,New York Knicks
1,22/10/2018 20:00,Minnesota Timberwolves,Indiana Pacers
1,22/10/2018 20:30,Dallas Mavericks,Chicago Bulls
1,22/10/2018 21:00,Utah Jazz,Memphis Grizzlies
1,22/10/2018 22:00,Portland Trail Blazers,Washington Wizards
1,22/10/2018 22:30,Golden State Warriors,Phoenix Suns
1,22/10/2018 22:30,Los Angeles Lakers,San Antonio Spurs
1,23/10/2018 19:00,Detroit Pistons,Philadelphia 76ers
1,23/10/2018 20:00,New Orleans Pelicans,LA Clippers
1,23/10/2018 21:00,Denver Nuggets,Sacramento Kings
1,24/10/2018 19:00,Atlanta Hawks,Dallas Mavericks
1,24/10/2018 19:00,Cleveland Cavaliers,Brooklyn Nets
1,24/10/2018 19:30,Miami Heat,New York Knicks
1,24/10/2018 19:30,Toronto Raptors,Minnesota Timberwolves
1,24/10/2018 20:00,Chicago Bulls,Charlotte Hornets
1,24/10/2018 20:00,Houston Rockets,Utah Jazz
1,24/10/2018 20:30,San Antonio Spurs,Indiana Pacers
1,24/10/2018 21:30,Milwaukee Bucks,Philadelphia 76ers
1,24/10/2018 22:00,Phoenix Suns,Los Angeles Lakers
1,24/10/2018 22:00,Sacramento Kings,Memphis Grizzlies
1,24/10/2018 22:30,Golden State Warriors,Washington Wizards
1,25/10/2018 19:00,Detroit Pistons,Cleveland Cavaliers
1,25/10/2018 19:00,Orlando Magic,Portland Trail Blazers
2,25/10/2018 20:00,Oklahoma City Thunder,Boston Celtics
2,25/10/2018 22:30,Los Angeles Lakers,Denver Nuggets
2,26/10/2018 19:00,Charlotte Hornets,Chicago Bulls
2,26/10/2018 19:30,New York Knicks,Golden State Warriors
2,26/10/2018 19:30,Toronto Raptors,Dallas Mavericks
2,26/10/2018 20:00,Houston Rockets,LA Clippers
2,26/10/2018 20:00,Minnesota Timberwolves,Milwaukee Bucks
2,26/10/2018 20:00,New Orleans Pelicans,Brooklyn Nets
2,26/10/2018 22:00,Sacramento Kings,Washington Wizards
2,27/10/2018 19:00,Detroit Pistons,Boston Celtics
2,27/10/2018 19:00,New Orleans Pelicans,Utah Jazz
2,27/10/2018 19:30,Atlanta Hawks,Chicago Bulls
2,27/10/2018 19:30,Cleveland Cavaliers,Indiana Pacers
2,27/10/2018 19:30,Philadelphia 76ers,Charlotte Hornets
2,27/10/2018 20:00,Miami Heat,Portland Trail Blazers
2,27/10/2018 20:00,Memphis Grizzlies,Phoenix Suns
2,27/10/2018 20:30,Milwaukee Bucks,Orlando Magic
2,27/10/2018 20:30,San Antonio Spurs,Los Angeles Lakers
2,28/10/2018 17:00,Brooklyn Nets,Golden State Warriors
2,28/10/2018 19:00,Dallas Mavericks,Utah Jazz
2,28/10/2018 19:00,Oklahoma City Thunder,Phoenix Suns
2,28/10/2018 21:30,LA Clippers,Washington Wizards
2,29/10/2018 19:00,Indiana Pacers,Portland Trail Blazers
2,29/10/2018 19:00,Philadelphia 76ers,Atlanta Hawks
2,29/10/2018 19:30,Miami Heat,Sacramento Kings
2,29/10/2018 19:30,New York Knicks,Brooklyn Nets
2,29/10/2018 20:00,Chicago Bulls,Golden State Warriors
2,29/10/2018 20:00,Milwaukee Bucks,Toronto Raptors
2,29/10/2018 20:00,Minnesota Timberwolves,Los Angeles Lakers
2,29/10/2018 20:30,San Antonio Spurs,Dallas Mavericks
2,29/10/2018 21:00,Denver Nuggets,New Orleans Pelicans
2,30/10/2018 19:00,Charlotte Hornets,Miami Heat
2,30/10/2018 19:00,Cleveland Cavaliers,Atlanta Hawks
2,30/10/2018 19:00,Orlando Magic,Sacramento Kings
2,30/10/2018 19:30,Boston Celtics,Detroit Pistons
2,30/10/2018 19:30,Toronto Raptors,Philadelphia 76ers
2,30/10/2018 20:00,Houston Rockets,Portland Trail Blazers
2,30/10/2018 20:00,Memphis Grizzlies,Washington Wizards
2,30/10/2018 20:00,Oklahoma City Thunder,LA Clippers
2,31/10/2018 19:30,Brooklyn Nets,Detroit Pistons
2,31/10/2018 20:00,New York Knicks,Indiana Pacers
2,31/10/2018 20:00,Chicago Bulls,Denver Nuggets
2,31/10/2018 20:00,Minnesota Timberwolves,Utah Jazz
2,31/10/2018 22:30,Golden State Warriors,New Orleans Pelicans
2,31/10/2018 22:30,Los Angeles Lakers,Dallas Mavericks
2,31/10/2018 22:30,Phoenix Suns,San Antonio Spurs
2,01/11/2018 19:00,Charlotte Hornets,Oklahoma City Thunder
2,01/11/2018 19:00,Cleveland Cavaliers,Denver Nuggets
2,01/11/2018 19:00,Philadelphia 76ers,LA Clippers
2,01/11/2018 19:30,Atlanta Hawks,Sacramento Kings
3,01/11/2018 20:00,Boston Celtics,Milwaukee Bucks
3,01/11/2018 22:30,Portland Trail Blazers,New Orleans Pelicans
3,02/11/2018 19:00,Orlando Magic,LA Clippers
3,02/11/2018 19:30,Brooklyn Nets,Houston Rockets
3,02/11/2018 20:00,Washington Wizards,Oklahoma City Thunder
3,02/11/2018 20:00,Chicago Bulls,Indiana Pacers
3,02/11/2018 20:30,Dallas Mavericks,New York Knicks
3,02/11/2018 21:00,Utah Jazz,Memphis Grizzlies
3,02/11/2018 22:00,Phoenix Suns,Toronto Raptors
3,02/11/2018 22:30,Golden State Warriors,Minnesota Timberwolves
3,03/11/2018 13:00,Philadelphia 76ers,Detroit Pistons
3,03/11/2018 19:00,Charlotte Hornets,Cleveland Cavaliers
3,03/11/2018 19:00,Indiana Pacers,Boston Celtics
3,03/11/2018 19:30,Atlanta Hawks,Miami Heat
3,03/11/2018 20:00,Chicago Bulls,Houston Rockets
3,03/11/2018 20:30,San Antonio Spurs,New Orleans Pelicans
3,03/11/2018 21:00,Denver Nuggets,Utah Jazz
3,03/11/2018 22:00,Portland Trail Blazers,Los Angeles Lakers
3,04/11/2018 15:30,Milwaukee Bucks,Sacramento Kings
3,04/11/2018 18:00,Brooklyn Nets,Philadelphia 76ers
3,04/11/2018 18:00,Washington Wizards,New York Knicks
3,04/11/2018 19:00,San Antonio Spurs,Orlando Magic
3,04/11/2018 20:00,Phoenix Suns,Memphis Grizzlies
3,04/11/2018 21:00,Portland Trail Blazers,Minnesota Timberwolves
3,04/11/2018 21:30,Los Angeles Lakers,Toronto Raptors
3,05/11/2018 19:00,Detroit Pistons,Miami Heat
3,05/11/2018 19:00,Indiana Pacers,Houston Rockets
3,05/11/2018 19:00,Orlando Magic,Cleveland Cavaliers
3,05/11/2018 19:30,New York Knicks,Chicago Bulls
3,05/11/2018 20:00,Oklahoma City Thunder,New Orleans Pelicans
3,05/11/2018 21:00,Denver Nuggets,Boston Celtics
3,05/11/2018 21:00,Utah Jazz,Toronto Raptors
3,05/11/2018 22:30,Golden State Warriors,Memphis Grizzlies
3,05/11/2018 22:30,LA Clippers,Minnesota Timberwolves
3,06/11/2018 19:00,Charlotte Hornets,Atlanta Hawks
3,06/11/2018 20:30,Dallas Mavericks,Washington Wizards
3,06/11/2018 21:00,Phoenix Suns,Brooklyn Nets
3,06/11/2018 22:00,Portland Trail Blazers,Milwaukee Bucks
3,07/11/2018 19:00,Cleveland Cavaliers,Oklahoma City Thunder
3,07/11/2018 19:00,Orlando Magic,Detroit Pistons
3,07/11/2018 19:30,Atlanta Hawks,New York Knicks
3,07/11/2018 19:30,Miami Heat,San Antonio Spurs
3,07/11/2018 20:00,Indiana Pacers,Philadelphia 76ers
3,07/11/2018 20:00,Memphis Grizzlies,Denver Nuggets
3,07/11/2018 20:00,New Orleans Pelicans,Chicago Bulls
3,07/11/2018 21:00,Utah Jazz,Dallas Mavericks
3,07/11/2018 22:00,Sacramento Kings,Toronto Raptors
3,07/11/2018 22:30,Los Angeles Lakers,Minnesota Timberwolves
4,08/11/2018 20:00,Oklahoma City Thunder,Houston Rockets
4,08/11/2018 21:00,Phoenix Suns,Boston Celtics
4,08/11/2018 22:00,Portland Trail Blazers,LA Clippers
