day,home team,away team
1,Chicago Bulls,Indiana Pacers
1,Boston Celtics,Philadelphia 76ers
1,Golden State Warriors,Oklahoma City Thunder
2,Cleveland Cavaliers,Toronto Raptors
2,LA Clippers,Denver Nuggets
2,New York Knicks,Atlanta Hawks
2,Phoenix Suns,Dallas Mavericks
2,Houston Rockets,New Orleans Pelicans
2,Utah Jazz,Sacramento Kings
2,Milwaukee Bucks,Charlotte Hornets
2,Orlando Magic,Miami Heat
2,San Antonio Spurs,Minnesota Timberwolves
2,Detroit Pistons,Brooklyn Nets
2,Indiana Pacers,Memphis Grizzlies
3,Portland Trail Blazers,Los Angeles Lakers
3,Washington Wizards,Miami Heat
3,Philadelphia 76ers,Chicago Bulls
4,Toronto Raptors,Boston Celtics
4,LA Clippers,Oklahoma City Thunder
4,Brooklyn Nets,New York Knicks
4,Memphis Grizzlies,Atlanta Hawks
4,New Orleans Pelicans,Sacramento Kings
4,Orlando Magic,Charlotte Hornets
4,Utah Jazz,Golden State Warriors
4,Indiana Pacers,Milwaukee Bucks
4,Minnesota Timberwolves,Cleveland Cavaliers
5,Washington Wizards,Toronto Raptors
5,Portland Trail Blazers,San Antonio Spurs
5,New York Knicks,Boston Celtics
5,Los Angeles Lakers,Houston Rockets
5,Dallas Mavericks,Minnesota Timberwolves
5,Miami Heat,Charlotte Hornets
5,Chicago Bulls,Detroit Pistons
5,Denver Nuggets,Phoenix Suns
5,Philadelphia 76ers,Orlando Magic
5,Indiana Pacers,Brooklyn Nets
6,LA Clippers,Houston Rockets
6,Cleveland Cavaliers,Atlanta Hawks
6,Oklahoma City Thunder,Sacramento Kings
6,Denver Nuggets,Golden State Warriors
7,Toronto Raptors,Charlotte Hornets
7,Portland Trail Blazers,Washington Wizards
7,Milwaukee Bucks,New York Knicks
7,Los Angeles Lakers,San Antonio Spurs
7,Dallas Mavericks,Chicago Bulls
7,Utah Jazz,Memphis Grizzlies
7,Boston Celtics,Orlando Magic
7,Golden State Warriors,Phoenix Suns
7,Minnesota Timberwolves,Indiana Pacers
8,New Orleans Pelicans,LA Clippers
8,Denver Nuggets,Sacramento Kings
8,Detroit Pistons,Philadelphia 76ers
9,Toronto Raptors,Minnesota Timberwolves
9,Miami Heat,New York Knicks
9,Phoenix Suns,Los Angeles Lakers
9,Golden State Warriors,Washington Wizards
9,Atlanta Hawks,Dallas Mavericks
9,Sacramento Kings,Memphis Grizzlies
9,Chicago Bulls,Charlotte Hornets
9,Houston Rockets,Utah Jazz
9,Philadelphia 76ers,Milwaukee Bucks
9,Cleveland Cavaliers,Brooklyn Nets
9,San Antonio Spurs,Indiana Pacers
10,Orlando Magic,Portland Trail Blazers
10,Los Angeles Lakers,Denver Nuggets
10,Oklahoma City Thunder,Boston Celtics
10,Detroit Pistons,Cleveland Cavaliers
11,Toronto Raptors,Dallas Mavericks
11,Houston Rockets,LA Clippers
11,New York Knicks,Golden State Warriors
11,Sacramento Kings,Washington Wizards
11,New Orleans Pelicans,Brooklyn Nets
11,Charlotte Hornets,Chicago Bulls
11,Minnesota Timberwolves,Milwaukee Bucks
12,Miami Heat,Portland Trail Blazers
12,San Antonio Spurs,Los Angeles Lakers
12,Atlanta Hawks,Chicago Bulls
12,New Orleans Pelicans,Utah Jazz
12,Philadelphia 76ers,Charlotte Hornets
12,Milwaukee Bucks,Orlando Magic
12,Memphis Grizzlies,Phoenix Suns
12,Detroit Pistons,Boston Celtics
12,Cleveland Cavaliers,Indiana Pacers
13,LA Clippers,Washington Wizards
13,Dallas Mavericks,Utah Jazz
13,Oklahoma City Thunder,Phoenix Suns
13,Brooklyn Nets,Golden State Warriors
14,Milwaukee Bucks,Toronto Raptors
14,Indiana Pacers,Portland Trail Blazers
14,New York Knicks,Brooklyn Nets
14,Minnesota Timberwolves,Los Angeles Lakers
14,San Antonio Spurs,Dallas Mavericks
14,Philadelphia 76ers,Atlanta Hawks
14,Denver Nuggets,New Orleans Pelicans
14,Miami Heat,Sacramento Kings
14,Chicago Bulls,Golden State Warriors
15,Toronto Raptors,Philadelphia 76ers
15,Houston Rockets,Portland Trail Blazers
15,Oklahoma City Thunder,LA Clippers
15,Memphis Grizzlies,Washington Wizards
15,Cleveland Cavaliers,Atlanta Hawks
15,Orlando Magic,Sacramento Kings
15,Charlotte Hornets,Miami Heat
15,Boston Celtics,Detroit Pistons
16,New York Knicks,Indiana Pacers
16,Los Angeles Lakers,Dallas Mavericks
16,Golden State Warriors,New Orleans Pelicans
16,Minnesota Timberwolves,Utah Jazz
16,Chicago Bulls,Denver Nuggets
16,Phoenix Suns,San Antonio Spurs
16,Brooklyn Nets,Detroit Pistons
17,Portland Trail Blazers,New Orleans Pelicans
17,Philadelphia 76ers,LA Clippers
17,Atlanta Hawks,Sacramento Kings
17,Charlotte Hornets,Oklahoma City Thunder
17,Cleveland Cavaliers,Denver Nuggets
17,Boston Celtics,Milwaukee Bucks
18,Phoenix Suns,Toronto Raptors
18,Orlando Magic,LA Clippers
18,Dallas Mavericks,New York Knicks
18,Washington Wizards,Oklahoma City Thunder
18,Utah Jazz,Memphis Grizzlies
18,Brooklyn Nets,Houston Rockets
18,Golden State Warriors,Minnesota Timberwolves
19,Portland Trail Blazers,Los Angeles Lakers
19,Atlanta Hawks,Miami Heat
19,San Antonio Spurs,New Orleans Pelicans
19,Charlotte Hornets,Cleveland Cavaliers
19,Denver Nuggets,Utah Jazz
19,Chicago Bulls,Houston Rockets
19,Indiana Pacers,Boston Celtics
19,Detroit Pistons,Philadelphia 76ers
20,Los Angeles Lakers,Toronto Raptors
20,Portland Trail Blazers,Minnesota Timberwolves
20,Washington Wizards,New York Knicks
20,Milwaukee Bucks,Sacramento Kings
20,San Antonio Spurs,Orlando Magic
20,Phoenix Suns,Memphis Grizzlies
20,Brooklyn Nets,Philadelphia 76ers
21,Utah Jazz,Toronto Raptors
21,LA Clippers,Minnesota Timberwolves
21,New York Knicks,Chicago Bulls
21,Oklahoma City Thunder,New Orleans Pelicans
21,Denver Nuggets,Boston Celtics
21,Orlando Magic,Cleveland Cavaliers
21,Indiana Pacers,Houston Rockets
21,Detroit Pistons,Miami Heat
21,Golden State Warriors,Memphis Grizzlies
22,Portland Trail Blazers,Milwaukee Bucks
22,Dallas Mavericks,Washington Wizards
22,Charlotte Hornets,Atlanta Hawks
22,Phoenix Suns,Brooklyn Nets
23,Sacramento Kings,Toronto Raptors
23,Atlanta Hawks,New York Knicks
23,Los Angeles Lakers,Minnesota Timberwolves
23,Dallas Mavericks,Utah Jazz
23,New Orleans Pelicans,Chicago Bulls
23,Memphis Grizzlies,Denver Nuggets
